Opponent,League,Competition,Position,Goal,Concede,W/L/D,H/A
Chelsea,Britain,Community Shield,0,1,1,D,A
Leicester,Britain,Premier League,1,4,3,W,H
Stoke,Britain,Premier League,1,0,1,L,A
Liverpool,Britain,Premier League,-1,0,4,L,A
Bournemouth,Britain,Premier League,1,3,0,W,H
Cologne,Germany,Europa League,0,3,1,W,H
Chelsea,Britain,Premier League,-1,0,0,D,A
Doncaster,Britain,EFL Cup,0,1,0,W,H
West Brom,Britain,Premier League,-1,2,0,W,H
Bate Borisov,Belarus,Europa League,0,4,2,W,A
Brighton,Britain,Premier League,1,2,0,W,H
Watford,Britain,Premier League,1,1,2,L,A
Red Star,Serbia,Europa League,0,1,0,W,A
Everton,Britain,Premier League,1,5,2,W,A
Norwich,Britain,EFL Cup,0,2,1,D,H
Swansea,Britain,Premier League,1,2,1,W,H
Red Star,Serbia,Europa League,0,0,0,D,H
Man City,Britain,Premier League,-1,1,3,L,A
Tottenham,Britain,Premier League,-1,2,0,W,H
Cologne,Germany,Europa League,0,0,1,L,A
Burnley,Britain,Premier League,1,1,0,W,A
Huddersfield,Britain,Premier League,1,5,0,W,H
Man Utd,Britain,Premier League,-1,1,3,L,H
Bate Borisov,Belarus,Europa League,0,6,0,W,H
Southampton,Britain,Premier League,1,1,1,D,A
West Ham,Britain,EFL Cup,0,0,0,D,A
Newcastle,Britain,Premier League,1,1,0,W,H
West Ham,Britain,Premier League,1,1,0,W,H
Liverpool,Britain,Premier League,-1,3,3,D,H
C Palace,Britain,Premier League,1,3,2,W,A
West Brom,Britain,Premier League,1,1,1,D,A
Chelsea,Britain,Premier League,-1,2,2,D,H
Nottm Forest,Britain,English FA Cup,0,2,4,L,A
Chelsea,Britain,EFL Cup,0,0,0,D,A
Bournemouth,Britain,Premier League,1,1,2,L,A
C Palace,Britain,Premier League,1,4,1,W,H
Chelsea,Britain,EFL Cup,0,2,1,W,H
Swansea,Britain,Premier League,1,1,3,L,A
Everton,Britain,Premier League,1,5,1,W,H
Tottenham,Britain,Premier League,-1,0,1,L,A
Ostersunds FK,Sweden,Europa League,0,3,0,W,A
Ostersunds FK,Sweden,Europa League,0,1,2,L,H
Man City,Britain,EFL Cup,0,0,3,L,H
Man City,Britain,Premier League,-1,0,3,L,H
Brighton,Britain,Premier League,1,1,2,L,A
Milan,Italy,Europa League,0,2,0,W,A
Watford,Britain,,1,,,,H
Milan,Italy,,0,,,,H
